ID_Venda,Data,ID_Cliente,ID_Produto,Quantidade,Canal_Venda,Produto,Categoria,Preco_Unitario,Custo_Unitario,Valor_Total,Custo_Total,Lucro
1,2021-08-09,720,21,5,Online,Lava e Seca Samsung 11kg,Eletrodomésticos,7766.06,4873.27,38830.3,24366.350000000002,14463.95
2,2025-11-15,8,1,1,Online,Smart TV Samsung 55'' 4K,Eletrônicos,6923.22,4245.0,6923.22,4245.0,2678.2200000000003
3,2021-12-30,1466,27,6,Loja Física,Guarda-Roupa Casal 6 Portas,Móveis,5033.13,3035.73,30198.78,18214.38,11984.399999999998
4,2020-05-08,2960,9,4,Loja Física,Notebook Dell Inspiron i7,Informática,1086.29,653.25,4345.16,2613.0,1732.1599999999999
5,2023-06-22,1887,28,1,Online,Rack para TV até 65'',Móveis,6228.14,3817.63,6228.14,3817.63,2410.51
6,2025-05-06,1669,3,1,Online,Soundbar JBL 2.1,Eletrônicos,1826.42,1018.29,1826.42,1018.29,808.1300000000001
7,2022-10-16,2937,17,1,Online,Geladeira Brastemp Frost Free,Eletrodomésticos,546.67,374.21,546.67,374.21,172.45999999999998
8,2021-11-18,2461,2,7,Online,Smart TV LG 50'' UHD,Eletrônicos,6407.56,3703.13,44852.920000000006,25921.91,18931.010000000006
9,2021-05-23,1133,9,7,Online,Notebook Dell Inspiron i7,Informática,1086.29,653.25,7604.03,4572.75,3031.2799999999997
10,2022-09-03,151,2,5,Online,Smart TV LG 50'' UHD,Eletrônicos,6407.56,3703.13,32037.800000000003,18515.65,13522.150000000001
11,2023-06-11,172,2,6,Online,Smart TV LG 50'' UHD,Eletrônicos,6407.56,3703.13,38445.36,22218.78,16226.580000000002
12,2025-06-14,2070,27,1,Loja Física,Guarda-Roupa Casal 6 Portas,Móveis,5033.13,3035.73,5033.13,3035.73,1997.4
13,2022-07-29,1473,8,6,Online,Console Xbox Series X,Eletrônicos,4071.16,2400.49,24426.96,14402.939999999999,10024.02
14,2024-04-05,2818,5,7,Online,TV Box Xiaomi Mi S,Eletrônicos,7523.39,4542.05,52663.73,31794.350000000002,20869.38
15,2024-09-30,1667,25,1,Online,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,4117.42,2372.87,1744.5500000000002
16,2024-04-24,255,24,2,Loja Física,Sofá Retrátil 3 Lugares,Móveis,3375.09,2300.64,6750.18,4601.28,2148.9000000000005
17,2022-11-02,2949,3,2,Loja Física,Soundbar JBL 2.1,Eletrônicos,1826.42,1018.29,3652.84,2036.58,1616.2600000000002
18,2021-11-26,749,28,7,Loja Física,Rack para TV até 65'',Móveis,6228.14,3817.63,43596.98,26723.41,16873.570000000003
19,2021-04-06,1104,10,6,Online,Notebook Lenovo ThinkPad i5,Informática,6720.74,3840.64,40324.44,23043.84,17280.600000000002
20,2024-04-03,1250,26,3,Online,Cadeira Escritório Presidente,Móveis,1944.73,1335.92,5834.1900000000005,4007.76,1826.4300000000003
21,2024-09-09,810,28,2,Loja Física,Rack para TV até 65'',Móveis,6228.14,3817.63,12456.28,7635.26,4821.02
22,2024-07-25,625,18,1,Loja Física,Geladeira Electrolux Duplex,Eletrodomésticos,4326.85,2981.92,4326.85,2981.92,1344.9300000000003
23,2022-11-14,1555,26,1,Online,Cadeira Escritório Presidente,Móveis,1944.73,1335.92,1944.73,1335.92,608.81
24,2021-09-02,916,5,4,Loja Física,TV Box Xiaomi Mi S,Eletrônicos,7523.39,4542.05,30093.56,18168.2,11925.36
25,2025-10-01,429,7,7,Loja Física,Console PlayStation 5,Eletrônicos,5960.31,3348.83,41722.170000000006,23441.809999999998,18280.360000000008
26,2020-07-04,692,7,3,Online,Console PlayStation 5,Eletrônicos,5960.31,3348.83,17880.93,10046.49,7834.4400000000005
27,2024-03-30,489,22,4,Online,Máquina de Lavar LG 12kg,Eletrodomésticos,4764.16,2799.74,19056.64,11198.96,7857.68
28,2025-01-18,433,23,3,Loja Física,Freezer Vertical Consul,Eletrodomésticos,5877.12,3587.57,17631.36,10762.710000000001,6868.65
29,2021-06-28,1590,6,4,Online,Projetor Epson Full HD,Eletrônicos,7634.42,5273.24,30537.68,21092.96,9444.720000000001
30,2025-05-09,308,12,6,Loja Física,Teclado Mecânico Redragon,Informática,1629.36,1125.69,9776.16,6754.14,3022.0199999999995
31,2025-12-01,1456,11,7,Loja Física,Mouse Logitech MX Master,Informática,5112.4,3396.06,35786.799999999996,23772.42,12014.379999999997
32,2025-08-19,1596,25,1,Online,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,4117.42,2372.87,1744.5500000000002
33,2023-07-10,1970,5,1,Online,TV Box Xiaomi Mi S,Eletrônicos,7523.39,4542.05,7523.39,4542.05,2981.34
34,2021-12-26,2371,10,1,Loja Física,Notebook Lenovo ThinkPad i5,Informática,6720.74,3840.64,6720.74,3840.64,2880.1
35,2023-02-27,356,22,5,Online,Máquina de Lavar LG 12kg,Eletrodomésticos,4764.16,2799.74,23820.8,13998.699999999999,9822.1
36,2023-09-22,316,3,5,Online,Soundbar JBL 2.1,Eletrônicos,1826.42,1018.29,9132.1,5091.45,4040.6500000000005
37,2024-10-22,2504,18,5,Loja Física,Geladeira Electrolux Duplex,Eletrodomésticos,4326.85,2981.92,21634.25,14909.6,6724.65
38,2023-06-12,492,7,1,Online,Console PlayStation 5,Eletrônicos,5960.31,3348.83,5960.31,3348.83,2611.4800000000005
39,2021-04-25,2262,1,7,Loja Física,Smart TV Samsung 55'' 4K,Eletrônicos,6923.22,4245.0,48462.54,29715.0,18747.54
40,2023-02-15,715,10,1,Online,Notebook Lenovo ThinkPad i5,Informática,6720.74,3840.64,6720.74,3840.64,2880.1
41,2025-10-11,646,15,5,Loja Física,SSD Kingston 1TB NVMe,Informática,5336.48,3570.73,26682.399999999998,17853.65,8828.749999999996
42,2020-03-18,117,10,2,Online,Notebook Lenovo ThinkPad i5,Informática,6720.74,3840.64,13441.48,7681.28,5760.2
43,2022-05-05,428,11,5,Online,Mouse Logitech MX Master,Informática,5112.4,3396.06,25562.0,16980.3,8581.7
44,2021-09-30,1943,19,6,Online,Fogão Consul 5 Bocas,Eletrodomésticos,5102.69,3248.45,30616.14,19490.699999999997,11125.440000000002
45,2025-11-14,8,10,1,Online,Notebook Lenovo ThinkPad i5,Informática,6720.74,3840.64,6720.74,3840.64,2880.1
46,2021-03-18,1587,26,7,Online,Cadeira Escritório Presidente,Móveis,1944.73,1335.92,13613.11,9351.44,4261.67
47,2021-07-29,1004,9,4,Online,Notebook Dell Inspiron i7,Informática,1086.29,653.25,4345.16,2613.0,1732.1599999999999
48,2022-07-02,1644,21,6,Loja Física,Lava e Seca Samsung 11kg,Eletrodomésticos,7766.06,4873.27,46596.36,29239.620000000003,17356.739999999998
49,2025-05-18,964,6,4,Online,Projetor Epson Full HD,Eletrônicos,7634.42,5273.24,30537.68,21092.96,9444.720000000001
50,2023-09-02,1179,7,4,Online,Console PlayStation 5,Eletrônicos,5960.31,3348.83,23841.24,13395.32,10445.920000000002
51,2025-02-27,1843,5,4,Online,TV Box Xiaomi Mi S,Eletrônicos,7523.39,4542.05,30093.56,18168.2,11925.36
52,2024-06-25,1332,24,1,Loja Física,Sofá Retrátil 3 Lugares,Móveis,3375.09,2300.64,3375.09,2300.64,1074.4500000000003
53,2023-08-02,1725,15,5,Online,SSD Kingston 1TB NVMe,Informática,5336.48,3570.73,26682.399999999998,17853.65,8828.749999999996
54,2021-02-13,1860,6,5,Loja Física,Projetor Epson Full HD,Eletrônicos,7634.42,5273.24,38172.1,26366.199999999997,11805.900000000001
55,2023-09-14,1900,4,2,Loja Física,Home Theater Sony 5.1,Eletrônicos,4001.32,2408.43,8002.64,4816.86,3185.7800000000007
56,2020-11-18,2764,9,3,Online,Notebook Dell Inspiron i7,Informática,1086.29,653.25,3258.87,1959.75,1299.12
57,2023-04-02,1011,25,3,Online,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,12352.26,7118.61,5233.650000000001
58,2021-05-20,600,3,3,Loja Física,Soundbar JBL 2.1,Eletrônicos,1826.42,1018.29,5479.26,3054.87,2424.3900000000003
59,2025-02-17,358,7,7,Loja Física,Console PlayStation 5,Eletrônicos,5960.31,3348.83,41722.170000000006,23441.809999999998,18280.360000000008
60,2023-12-20,2358,12,3,Online,Teclado Mecânico Redragon,Informática,1629.36,1125.69,4888.08,3377.07,1511.0099999999998
61,2021-02-05,2551,8,1,Online,Console Xbox Series X,Eletrônicos,4071.16,2400.49,4071.16,2400.49,1670.67
62,2021-12-17,1111,7,3,Online,Console PlayStation 5,Eletrônicos,5960.31,3348.83,17880.93,10046.49,7834.4400000000005
63,2023-03-06,2208,18,1,Online,Geladeira Electrolux Duplex,Eletrodomésticos,4326.85,2981.92,4326.85,2981.92,1344.9300000000003
